method,endpoint
DELETE,/types/clients
GET,/task/{taskId}
GET,/task
GET,/sources
GET,/sources/{sourceId}
GET,/types
GET,/types/clients/{clientId}
GET,/{patientGroupId}
GET,/
GET,/presigned-url
GET,/file-type
GET,/match-type
GET,/folders/{folderId}
GET,/transformation-types
GET,/transformations
GET,/transformations/{transformationId}
GET,/partner-site/clients/{client_id}
POST,/sources
POST,/types
POST,/types/clients
POST,/
POST,/folders
POST,/transformations
POST,/transformations/{transformationId}/execute
POST,/partner-site
PUT,/sources/{sourceId}
PUT,/types/{patientGroupTypeId}
PUT,/types/clients
PUT,/{patientGroupId}
PUT,/transformations/{transformationId}
PUT,/partner-site/{clientId}
